City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Carutapera,82,BR,1596250317,92,-1.2,-46.02,297.42,2.43
Upernavik,0,GL,1596250063,69,72.79,-56.15,278.97,5.87
Cape Town,0,ZA,1596250018,93,-33.93,18.42,282.15,1.0
Guerrero Negro,0,MX,1596250082,72,27.98,-114.06,296.25,5.88
Suntar,40,RU,1596250319,38,62.14,117.63,297.3,2.93
Erzin,50,TR,1596250319,90,36.96,36.2,299.82,0.92
Yeppoon,6,AU,1596250319,43,-23.13,150.73,296.15,5.7
Mahébourg,40,MU,1596250319,88,-20.41,57.7,293.15,0.5
Alice Springs,0,AU,1596250319,19,-23.7,133.88,292.15,3.1
Geraldton,0,AU,1596250319,55,-28.77,114.6,292.15,7.7
Kariba,0,ZW,1596250319,50,-16.52,28.8,284.4,1.28
Fethiye,0,TR,1596250319,83,36.62,29.12,296.15,1.5
Cap Malheureux,8,MU,1596250319,83,-19.98,57.61,292.59,0.89
Sault Ste. Marie,20,CA,1596250320,82,46.52,-84.33,291.15,1.5
Avarua,22,CK,1596250316,60,-21.21,-159.78,296.15,2.6
Khatanga,96,RU,1596250320,43,71.97,102.5,296.02,5.95
Miquelon,87,PM,1596250321,96,47.1,-56.38,289.41,6.59
Vostok,95,RU,1596250322,66,46.49,135.88,298.4,2.93
Biak,47,ID,1596250322,74,-0.91,122.88,300.59,3.13
Shihezi,75,CN,1596250322,21,44.3,86.03,302.08,5.3
Qaanaaq,2,GL,1596250062,78,77.48,-69.36,275.81,0.94
Gimli,2,CA,1596250082,99,50.63,-96.99,293.71,1.79
Tuktoyaktuk,20,CA,1596250323,72,69.45,-133.04,289.15,5.7
San Cristobal,92,VE,1596250323,90,7.77,-72.22,292.71,1.93
Isfahan,0,IR,1596250323,60,32.66,51.68,293.15,2.1
Paris,8,FR,1596250280,73,48.85,2.35,295.93,2.1
Lakes Entrance,0,AU,1596250323,60,-37.88,147.98,288.15,0.45
Kāmāreddi,95,IN,1596250323,84,18.32,78.35,299.3,3.07
Tiksi,68,RU,1596250323,73,71.69,128.87,279.87,2.82
Stonehaven,100,GB,1596250324,100,56.96,-2.21,288.15,1.0
Hobart,40,AU,1596250283,54,-42.88,147.33,289.82,6.2
Fortuna,48,US,1596250324,84,40.6,-124.16,289.82,0.45
Lowestoft,67,GB,1596250324,85,52.48,1.75,293.71,1.34
Ratnagiri,81,IN,1596250324,78,16.98,73.3,301.42,1.11
Saint-Philippe,75,RE,1596250324,82,-21.36,55.77,292.15,2.1
Port Lincoln,94,AU,1596250147,45,-34.73,135.87,290.47,7.75
San Patricio,90,MX,1596250058,79,19.22,-104.7,303.15,1.48
Muros,44,ES,1596250327,85,42.78,-9.06,291.48,3.13
Tallahassee,1,US,1596250326,94,30.44,-84.28,300.37,2.6
Praia da Vitória,40,PT,1596250327,83,38.73,-27.07,294.15,2.59
Port-Gentil,76,GA,1596250328,79,-0.72,8.78,296.61,4.31
Turukhansk,99,RU,1596250328,83,65.82,87.98,288.38,5.43
Wiang Sa,100,TH,1596250328,91,8.64,99.37,301.48,4.35
Leningradskiy,81,RU,1596250328,71,69.38,178.42,278.02,2.38
Krk,75,HR,1596250328,78,45.03,14.57,299.26,0.5
Bathsheba,40,BB,1596250329,74,13.22,-59.52,301.15,5.7
Siderno,5,IT,1596250329,88,38.28,16.3,300.37,4.1
Camaná,44,PE,1596250329,77,-16.62,-72.71,288.39,1.19
Bambanglipuro,56,ID,1596250329,59,-7.95,110.28,301.51,4.93
Plymouth,1,US,1596250329,93,41.83,-70.83,294.26,2.2
Bethel,1,US,1596250329,88,41.37,-73.41,294.26,2.1
Baillif,88,GP,1596250329,94,16.02,-61.75,298.15,1.0
Tautira,40,PF,1596250329,69,-17.73,-149.15,301.15,4.6
Calama,0,CL,1596250083,6,-22.47,-68.93,282.15,5.7
Codrington,0,AU,1596250091,62,-38.27,141.97,289.48,8.36
Roebourne,0,AU,1596250329,18,-20.78,117.13,300.21,4.2
Hilo,90,US,1596250330,61,19.73,-155.09,301.15,7.2
Safford,1,US,1596250330,14,32.83,-109.71,312.15,3.6
Meulaboh,75,ID,1596250330,66,4.14,96.13,301.13,1.13
Tarime,0,TZ,1596250330,75,-1.35,34.37,288.8,1.79
Winneba,40,GH,1596250330,94,5.35,-0.62,297.15,3.6
Wajir,0,KE,1596250331,74,1.75,40.06,294.88,4.21
Lebedinyy,100,RU,1596250332,83,58.52,125.52,287.9,5.75
Lagoa,7,PT,1596250332,69,39.05,-27.98,293.77,3.38
Sitka,75,US,1596250332,49,57.05,-135.33,296.15,1.32
Fort Nelson,20,CA,1596250332,39,58.81,-122.7,302.15,4.6
Boa Vista,75,BR,1596250332,78,2.82,-60.67,300.15,2.1
Yumen,0,CN,1596250125,18,40.28,97.2,297.76,6.31
Longyearbyen,75,SJ,1596250332,87,78.22,15.64,281.15,1.0
Ballina,40,AU,1596250332,77,-28.87,153.57,291.48,6.2
Bubaque,100,GW,1596250332,82,11.28,-15.83,299.84,5.72
Nikolskoye,92,RU,1596250044,81,59.7,30.79,286.48,4.0
Tasiilaq,0,GL,1596250042,75,65.61,-37.64,278.15,1.0
Kaeo,100,NZ,1596250333,3,-35.1,173.78,287.59,4.02
Iki-Burul,0,RU,1596250333,64,45.82,44.65,295.15,7.0
Empório,6,GR,1596250333,54,40.48,21.55,299.82,0.45
Portland,75,US,1596250156,47,45.52,-122.68,299.26,5.7
Laas,5,IT,1596250333,72,46.62,10.7,290.93,2.6
Comodoro Rivadavia,100,AR,1596250333,50,-45.87,-67.5,284.15,5.7
Hammerfest,40,NO,1596250333,100,70.66,23.68,283.15,5.1
Muravlenko,91,RU,1596250333,68,63.79,74.52,290.14,5.89
Néa Péramos,0,GR,1596250333,47,38.01,23.42,302.04,2.87
Luganville,40,VU,1596250334,88,-15.53,167.17,301.15,3.1
Mayumba,7,GA,1596250334,84,-3.43,10.66,294.46,1.58
Esperance,90,AU,1596250334,87,-33.87,121.9,288.15,1.5
Luleå,0,SE,1596250334,93,65.58,22.15,284.15,1.0
Kiryat Gat,0,IL,1596250334,60,31.61,34.76,296.48,2.77
Caucayá,58,CO,1596250334,97,-0.19,-74.78,294.65,0.82
Verkhnyaya Inta,97,RU,1596250335,74,65.98,60.31,287.64,5.78
Yakeshi,64,CN,1596250335,46,49.28,120.73,300.05,2.63
Carnarvon,0,AU,1596250337,45,-24.87,113.63,293.15,6.7
Adrar,49,MR,1596250106,33,20.5,-10.07,307.72,5.2
Labuhan,69,ID,1596250043,58,-6.88,112.21,301.94,3.5
Saint Paul Harbor,90,US,1596250338,82,57.79,-152.41,288.15,3.6
Cidreira,14,BR,1596250338,91,-30.18,-50.21,287.14,2.24
Santa Maria,24,BR,1596250338,92,-29.68,-53.81,285.88,2.75
Taoudenni,0,ML,1596250338,12,22.68,-3.98,308.91,5.46
Santa Cruz de la Sierra,72,BO,1596250092,88,-17.8,-63.17,290.15,1.5
Sørland,100,NO,1596250339,91,67.67,12.69,286.11,2.74
Lashio,100,MM,1596250339,81,22.93,97.75,298.73,0.53
Progreso,40,MX,1596250339,78,21.28,-89.67,302.04,3.1
Narsaq,3,GL,1596250339,75,60.92,-46.05,281.15,1.5
Balkanabat,0,TM,1596250339,22,39.51,54.37,301.19,2.25
Novobirilyussy,100,RU,1596250339,56,56.95,90.67,292.79,1.03
Maningrida,31,AU,1596250339,44,-12.07,134.27,301.02,5.0
Ulladulla,89,AU,1596250339,45,-35.35,150.47,290.15,4.6
Pevek,94,RU,1596250339,90,69.7,170.31,275.65,1.9
Aitape,50,PG,1596250341,75,-3.14,142.35,302.15,1.62
Benalla,21,AU,1596250341,66,-36.55,145.98,287.04,1.5
Clyde River,90,CA,1596250055,100,70.47,-68.59,279.15,3.1
Faanui,0,PF,1596250341,81,-16.48,-151.75,299.06,5.41
Tateyama,20,JP,1596250341,74,34.98,139.87,304.82,4.6
Saulkrasti,90,LV,1596250341,93,57.26,24.41,290.15,1.5
Necochea,0,AR,1596250341,72,-38.55,-58.74,280.82,2.95
Ostrovnoy,68,RU,1596250341,87,68.05,39.51,284.4,5.84
Mount Gambier,0,AU,1596250341,55,-37.83,140.77,290.15,7.2
Hāgere Selam,100,ET,1596250342,100,6.48,38.52,282.47,1.95
Lompoc,0,US,1596250342,82,34.64,-120.46,289.15,5.1
Salalah,90,OM,1596250342,88,17.02,54.09,301.15,2.1
Marystown,75,CA,1596250342,97,47.17,-55.15,289.56,3.81
Bandar,100,ID,1596250342,65,2.05,99.75,302.6,0.98
Abalak,95,RU,1596250342,94,58.13,68.59,291.73,2.7
Kankaanpää,0,FI,1596250342,93,61.8,22.42,283.15,0.5
Hong Kong,99,HK,1596250202,70,22.29,114.16,303.15,9.39
Sistranda,70,NO,1596250342,93,63.73,8.83,287.15,6.2
Coos Bay,90,US,1596250342,100,43.37,-124.22,292.04,2.1
Kapaa,90,US,1596250343,88,22.08,-159.32,298.15,7.2
Ponta Delgada,20,PT,1596250343,82,37.73,-25.67,292.15,2.1
Pisco,90,PE,1596250343,82,-13.7,-76.22,289.15,3.1
Tignère,100,CM,1596250343,99,7.37,12.65,290.2,0.54
Riyadh,0,SA,1596250343,24,24.69,46.72,305.15,1.0
Cabo San Lucas,5,MX,1596250343,61,22.89,-109.91,302.59,4.6
Mehamn,97,NO,1596250343,89,71.04,27.85,283.09,2.68
Galesong,20,ID,1596250343,55,-5.32,119.37,303.15,2.1
Lyskovo,23,RU,1596250344,96,56.03,45.04,289.26,1.38
Marfino,73,RU,1596250345,93,55.7,37.38,287.04,1.0
Atar,8,MR,1596250345,46,20.52,-13.05,304.81,3.19
San Ramon,1,US,1596250269,41,37.78,-121.98,299.26,4.6
Aksu,34,CN,1596250345,17,41.12,80.26,302.8,0.82
Mossamedes,0,AO,1596250346,78,-15.2,12.15,291.92,1.81
Baton Rouge,40,US,1596250134,74,30.45,-91.15,302.15,5.1
Lebu,100,CL,1596250346,81,-37.62,-73.65,283.58,6.13
Isangel,90,VU,1596250346,94,-19.55,169.27,296.15,4.1
Eydhafushi,60,MV,1596250347,77,5.1,73.07,301.62,5.62
Maromitsa,6,RU,1596250347,93,59.87,48.01,284.66,2.38
Lorengau,90,PG,1596250347,74,-2.02,147.27,302.38,3.27
Roald,0,NO,1596250140,93,62.58,6.13,288.15,4.1
Saldanha,0,ZA,1596250347,87,-33.01,17.94,281.15,2.1
Kayerkan,75,RU,1596250347,82,69.35,87.76,290.15,11.0
Coyhaique,100,CL,1596250347,100,-45.58,-72.07,274.15,1.0
Half Moon Bay,90,US,1596250347,93,37.46,-122.43,294.15,4.6
Katsuura,20,JP,1596250348,78,35.13,140.3,303.15,4.1
Quang Ngai,100,VN,1596250348,92,15.12,108.8,297.98,2.18
Calabozo,100,VE,1596250348,95,8.92,-67.43,296.85,1.06
Vila Velha,75,BR,1596250349,82,-20.33,-40.29,293.15,5.1
Gamba,11,GA,1596250349,85,-2.65,10.0,294.32,1.67
Sambava,32,MG,1596250349,83,-14.27,50.17,293.7,5.27
Kahului,40,US,1596250223,43,20.89,-156.47,304.15,9.3
Walvis Bay,0,NA,1596250349,16,-22.96,14.51,296.15,8.7
Rock Hill,1,US,1596250079,70,34.92,-81.03,302.59,2.6
Tommot,74,RU,1596250350,56,58.96,126.29,294.51,3.7
College,75,US,1596250115,38,64.86,-147.8,298.15,2.1
General Pico,98,AR,1596250350,58,-35.66,-63.76,281.12,3.72
Ust-Nera,5,RU,1596250350,29,64.57,143.2,293.62,1.59
Hithadhoo,2,MV,1596250350,70,-0.6,73.08,301.55,2.76
Marawi,94,PH,1596250104,84,8.0,124.29,299.82,1.79
Lębork,1,PL,1596250350,100,54.54,17.75,288.15,3.1
East London,0,ZA,1596250350,57,-33.02,27.91,288.17,2.19
Kita,4,ML,1596250350,88,13.03,-9.49,296.95,1.88
Rocha,0,UY,1596250350,93,-34.48,-54.33,280.23,0.25
Naryan-Mar,100,RU,1596250350,83,67.67,53.09,286.16,4.91
Moindou,90,NC,1596250351,73,-21.69,165.68,294.15,6.2
Rio Grande,75,BR,1596250126,92,-32.03,-52.1,285.93,2.96
Peleduy,96,RU,1596250351,42,59.63,112.74,296.56,6.35
Nouadhibou,63,MR,1596250351,83,20.93,-17.03,297.15,5.7
Tura,72,IN,1596250351,74,25.52,90.22,302.68,0.83
Te Anau,100,NZ,1596250351,86,-45.42,167.72,283.89,0.48
Kitimat,98,CA,1596250352,61,54.05,-128.65,294.82,2.68
Jászberény,0,HU,1596250353,63,47.5,19.92,292.15,3.1
Olafsvik,100,IS,1596250353,88,64.89,-23.71,283.28,6.94
Sharan,86,RU,1596250353,85,54.82,54.0,290.23,0.52
Berlevåg,100,NO,1596250353,91,70.86,29.09,283.01,3.2
Inírida,96,CO,1596250353,95,3.87,-67.92,296.01,0.98
Iqaluit,90,CA,1596250353,100,63.75,-68.51,285.15,4.22
Bereda,93,ES,1596250353,99,43.27,-7.54,290.93,1.34
Airai,14,TL,1596250353,36,-8.93,125.41,295.22,2.16
Kendari,37,ID,1596250353,80,-3.94,122.5,300.08,2.12
Nador,56,MA,1596250354,94,35.17,-2.93,299.15,0.99
Killybegs,58,IE,1596250354,94,54.63,-8.45,284.26,0.45
Oussouye,51,SN,1596250354,88,12.48,-16.55,298.73,2.78
Kutum,100,SD,1596250354,73,14.2,24.67,296.27,7.98
Luba,46,GQ,1596250354,83,3.46,8.55,297.81,2.95
Beringovskiy,98,RU,1596250355,77,63.05,179.32,283.96,3.37
Edd,99,ER,1596250355,67,13.93,41.69,302.65,1.42
Karaidel',94,RU,1596250355,91,55.83,56.91,289.62,1.82
Ilulissat,100,GL,1596250356,87,69.22,-51.1,279.15,0.5
Srednekolymsk,100,RU,1596250357,66,67.45,153.68,285.51,3.22
Korla,0,CN,1596250357,17,41.76,86.15,302.16,4.88
Norman Wells,5,CA,1596250357,35,65.28,-126.83,303.15,2.1
Minsk,59,BY,1596250212,100,53.9,27.57,286.15,3.0
Silver City,1,US,1596250357,34,32.77,-108.28,301.15,2.6
Kachīry,0,KZ,1596250357,62,53.07,76.1,294.18,2.44
Kwang Binh,100,VN,1596250357,91,17.48,106.6,298.52,5.05
Chara,99,RU,1596250357,84,56.91,118.26,289.15,1.98
Vanderhoof,100,CA,1596250358,82,54.02,-124.02,292.33,3.42
Austin,1,US,1596249773,83,30.27,-97.74,297.15,2.79
Palana,54,RU,1596250358,76,59.12,159.97,286.27,8.6
Yulara,0,AU,1596250359,19,-25.24,130.99,292.15,2.1
Bambous Virieux,40,MU,1596250359,88,-20.34,57.76,293.15,0.5
Laguna,1,US,1596250359,31,38.42,-121.42,304.15,4.6
Pangnirtung,96,CA,1596250359,77,66.15,-65.71,284.34,0.45
Tuatapere,94,NZ,1596250359,85,-46.13,167.68,285.73,0.9
Lao Cai,31,VN,1596250359,64,22.48,103.95,304.96,0.45
Forsytheganj,35,BY,1596250359,98,52.63,29.73,284.05,3.0
Namtsy,0,RU,1596250359,33,62.72,129.67,296.15,5.0
Cherskiy,94,RU,1596250359,65,68.75,161.3,283.66,3.36
Bam,0,IR,1596250359,12,29.11,58.36,305.7,1.84
Ruteng,19,ID,1596250361,59,-8.61,120.47,295.88,0.66
Thompson,75,CA,1596250228,88,55.74,-97.86,290.15,1.5
Neryungri,99,RU,1596250361,89,56.67,124.65,290.4,1.68
Urucará,88,BR,1596250361,57,-2.54,-57.76,298.09,0.82
Conde,20,BR,1596250363,100,-7.26,-34.91,295.15,2.1
Yermakovskoye,100,RU,1596250363,92,53.28,92.4,285.73,0.52
Esmeraldas,55,BR,1596250352,72,-19.76,-44.31,291.15,4.6
Taltal,0,CL,1596250363,66,-25.4,-70.48,287.33,0.44
Goderich,57,CA,1596250364,74,43.75,-81.72,296.48,0.89
Leh,39,IN,1596250364,40,34.17,77.58,289.48,2.84
Port Hedland,0,AU,1596250365,7,-20.32,118.57,303.15,3.1
Kurdzhinovo,0,RU,1596250365,74,43.99,40.96,289.95,2.3
Mwinilunga,4,ZM,1596250365,60,-11.74,24.43,285.43,3.0
Matara,94,LK,1596250365,84,5.95,80.54,300.54,5.41
Takhtamygda,100,RU,1596250365,85,54.1,123.57,293.04,2.0
Hasaki,75,JP,1596250365,74,35.73,140.83,303.15,5.7
Mount Isa,0,AU,1596250366,17,-20.73,139.5,297.15,5.1
Port Keats,31,AU,1596250367,28,-14.25,129.55,303.39,1.33
Opuwo,0,NA,1596250367,41,-18.06,13.84,285.48,4.01
Along,100,IN,1596250367,78,28.17,94.77,299.37,0.49
Saint-Pierre,75,RE,1596250367,82,-21.34,55.48,292.15,2.1
Cayenne,89,GF,1596250367,100,4.93,-52.33,297.15,2.6
Batagay-Alyta,5,RU,1596250367,34,67.8,130.41,292.65,2.47
Seoul,90,KR,1596249888,78,37.57,126.98,302.15,1.5
Malé,40,MV,1596250367,88,4.17,73.51,301.15,5.1
Vitória de Santo Antão,20,BR,1596250367,83,-8.12,-35.29,298.15,4.1
Pacifica,90,US,1596250278,93,37.61,-122.49,290.93,4.6
Srīvardhan,100,IN,1596250368,83,18.03,73.02,300.91,2.78
Katobu,59,ID,1596250368,57,-4.94,122.53,302.35,3.37
Ambon City,75,ID,1596250314,83,-3.7,128.18,300.15,4.1
Kemijärvi,26,FI,1596250368,76,66.71,27.43,283.81,1.48
Ourém,90,PT,1596250368,93,39.64,-8.59,292.04,4.1
Mariehamn,0,AX,1596250368,100,60.1,19.93,281.15,2.1
Pacific Grove,1,US,1596250260,60,36.62,-121.92,293.15,3.6
Kuito,0,AO,1596250368,60,-12.38,16.93,282.63,1.07
Kamuli,84,UG,1596250369,78,0.95,33.12,290.37,0.21
Saint Anthony,75,US,1596250369,44,45.02,-93.22,298.15,1.5
Aklavik,40,CA,1596250369,49,68.22,-135.01,296.15,5.1
Yatou,64,CN,1596250371,81,37.15,122.38,300.78,3.9
Requena,0,ES,1596250371,70,39.49,-1.1,294.82,1.41
Den Helder,90,NL,1596250371,68,52.96,4.76,295.37,2.6
Smithers,90,CA,1596250116,44,54.78,-127.17,300.15,4.6
Dabakala,100,CI,1596250371,96,8.37,-4.43,294.88,3.03
Sayyan,66,YE,1596250371,75,15.17,44.32,289.49,1.1
Talnakh,75,RU,1596250371,82,69.49,88.4,290.15,11.0
Maceió,75,BR,1596250372,94,-9.67,-35.74,295.15,2.1
Nome,75,US,1596250372,87,64.5,-165.41,287.15,2.6
Nuuk,100,GL,1596250309,76,64.18,-51.72,283.15,13.4
Port Jervis,5,US,1596250374,17,41.38,-74.69,293.15,1.07
Grand Gaube,8,MU,1596250374,83,-20.01,57.66,292.59,0.89
Urusha,100,RU,1596250374,94,54.05,122.9,291.1,1.98
Belmonte,40,BR,1596250324,69,-15.86,-38.88,297.15,4.1
Ayan,100,RU,1596250374,88,56.45,138.17,286.25,1.53
Lüderitz,0,NA,1596250374,17,-26.65,15.16,296.15,6.2
Tessalit,0,ML,1596250374,17,20.2,1.01,307.33,4.85
Qujing,40,CN,1596250374,68,25.48,103.78,295.66,1.79
Chitungwiza,0,ZW,1596250375,69,-18.01,31.08,279.2,2.93
Stutterheim,0,ZA,1596250375,42,-32.57,27.42,283.57,2.05
Tyup,100,KG,1596250375,69,42.73,78.36,290.59,1.26
Bilibino,99,RU,1596250375,70,68.05,166.44,283.59,1.91
Zhezkazgan,14,KZ,1596250375,35,47.8,67.71,295.15,5.0
Shitanjing,8,CN,1596250375,21,39.23,106.34,301.34,1.85
Mujiayingzi,0,CN,1596250375,40,42.12,118.78,304.27,3.79
Sakaraha,0,MG,1596250375,90,-22.9,44.53,284.61,1.61
Lososina,100,RU,1596250375,91,49.0,140.31,290.65,4.76
Staryy Nadym,88,RU,1596250375,56,65.61,72.68,290.39,5.13
Kristinestad,0,FI,1596250375,86,62.27,21.38,284.02,1.81
Nouakchott,20,MR,1596250376,83,18.09,-15.98,301.15,3.1
Zaysan,52,KZ,1596250376,22,47.47,84.87,297.11,3.12
Marabu,20,MY,1596250376,74,4.41,114.01,303.15,2.6
Kakching,75,IN,1596250376,69,24.48,93.98,298.15,0.5
Kushiro,20,JP,1596250376,78,42.98,144.37,296.15,4.6
Mayo,90,US,1596250376,88,38.89,-76.51,297.59,1.45
Caravelas,100,BR,1596250376,84,-17.71,-39.25,294.6,5.39
Menongue,0,AO,1596250376,53,-14.66,17.69,282.13,1.82
Katwijk,83,NL,1596250125,83,52.19,4.42,293.71,2.68
Hofn,100,IS,1596250085,93,64.25,-15.21,284.25,8.31
Pitogo,100,PH,1596250376,78,13.78,122.09,301.1,4.26
Vao,4,NC,1596250378,76,-22.67,167.48,293.05,10.23
Babstovo,100,RU,1596250378,96,48.12,132.48,294.83,1.5
Kieta,100,PG,1596250378,76,-6.22,155.63,300.66,0.83
Cruzeiro do Sul,3,BR,1596250378,89,-29.51,-51.99,287.04,0.45
South Venice,75,US,1596250378,66,27.05,-82.42,303.71,1.5
Āsosa,99,ET,1596250378,85,10.07,34.53,289.8,1.18
Kosa,4,RU,1596250378,89,59.94,55.0,286.2,2.63
Coahuayana Viejo,90,MX,1596250378,94,18.73,-103.68,295.15,0.11
Pandan,100,PH,1596250378,89,14.05,124.17,298.8,3.28
Viedma,68,AR,1596250378,58,-40.81,-63.0,281.96,4.37
Whyalla,0,AU,1596250379,32,-33.03,137.58,293.15,6.7
Husavik,90,IS,1596250379,87,66.04,-17.34,283.15,2.1
Parkes,0,AU,1596250379,49,-33.13,148.18,290.37,2.23
Hervey Bay,47,AU,1596250379,75,-25.3,152.85,292.59,4.92
Fairview,1,US,1596250379,69,40.81,-74.0,298.71,1.12
Arrondissement d'Ajaccio,0,FR,1596250379,56,42.0,8.92,295.15,3.1
Jacareacanga,0,BR,1596250379,51,-6.22,-57.75,296.22,0.35
Kālīnagar,30,IN,1596250379,84,28.62,80.1,300.96,4.29
Kota Kinabalu,20,MY,1596250379,74,5.97,116.07,302.15,1.0
Nova Olímpia,0,BR,1596250379,44,-14.8,-57.29,294.72,0.26
